Id,Name,UnitPrice
1,Build your own computer,1200.0
2,Digital Storm VANQUISH 3 Custom Performance PC,1259.0
3,Lenovo IdeaCentre 600 All-in-One PC,500.0
4,Apple MacBook Pro 13-inch,1800.0
5,Asus N551JK-XO076H Laptop,1500.0
6,Samsung Series 9 NP900X4C Premium Ultrabook,1590.0
7,HP Spectre XT Pro UltraBook,1350.0
8,HP Envy 6-1180ca 15.6-Inch Sleekbook,1460.0
9,Lenovo Thinkpad X1 Carbon Laptop,1360.0
10,Adobe Photoshop CS4,75.0
11,Windows 8 Pro,65.0
12,Sound Forge Pro 11 (recurring),54.99
13,Nikon D5500 DSLR,670.0
14,Nikon D5500 DSLR - Black,670.0
15,Nikon D5500 DSLR - Red,630.0
16,Leica T Mirrorless Digital Camera,530.0
17,Apple iCam,1300.0
18,HTC One M8 Android L 5.0 Lollipop,245.0
19,HTC One Mini Blue,100.0
20,Nokia Lumia 1020,349.0
21,Beats Pill 2.0 Wireless Speaker,79.99
22,Universal 7-8 Inch Tablet Cover,39.0
23,Portable Sound Speakers,37.0
24,Nike Floral Roshe Customized Running Shoes,40.0
25,adidas Consortium Campus 80s Running Shoes,27.56
26,"Nike SB Zoom Stefan Janoski ""Medium Mint""",30.0
27,Nike Tailwind Loose Short-Sleeve Running Shirt,15.0
28,Oversized Women T-Shirt,24.0
29,Custom T-Shirt,15.0
30,Levi's 511 Jeans,43.5
31,Obey Propaganda Hat,30.0
32,Reversible Horseferry Check Belt,45.0
33,Ray Ban Aviator Sunglasses,25.0
34,Night Visions,2.8
35,If You Wait (donation),0.0
36,Science & Faith,0.0
37,Fahrenheit 451 by Ray Bradbury,27.0
38,First Prize Pies,51.0
39,Pride and Prejudice,24.0
40,Elegant Gemstone Necklace (rental),30.0
41,Flower Girl Bracelet,360.0
42,Vintage Style Engagement Ring,2100.0
43,$25 Virtual Gift Card,25.0
44,$50 Physical Gift Card,50.0
45,$100 Physical Gift Card,100.0
46,Samsung A7,3.0
47,Cửa Hàng Thời Trang,5.0
48,Lightstick BLACKPINK,20.0
49,Giày Sneaker Unisex Sk8 Hi Vans - Navy,20.0
50,A7,3.0
51,TÊN SẢN PHẦM,0.0
52,BLACKPINK 2ND MINI ALBUM [KILL THIS LOVE],30.0
53,[10TH] Bigbang Light Stick Head,18.0
54,Bạn Đắt Giá Bao Nhiêu?,3.0
55,Tuổi 20 tôi đã sống như một bông hoa dại,2.0
56,Nhà Giả Kim,2.1
57,Ống hút giấy,2.0
58,Giấy nảy mầm,2.0
59,Hành Trình Về Phương Đông,2.0
